tipo,cve_region,nom_region,pob_2020
Micropolitan Statistical Area,37950,"Petoskey, MI",33949
Micropolitan Statistical Area,39040,"Port Townsend, WA",33944
Micropolitan Statistical Area,29900,"Laurinburg, NC",33898
Micropolitan Statistical Area,19940,"Dixon, IL",33544
Micropolitan Statistical Area,11140,"Americus, GA",33475
Micropolitan Statistical Area,31680,"Malvern, AR",33313
Micropolitan Statistical Area,45380,"Taylorville, IL",33247
Micropolitan Statistical Area,32280,"Martin, TN",33162
Micropolitan Statistical Area,15700,"Cambridge, MD",33138
Micropolitan Statistical Area,45980,"Troy, AL",33124
Micropolitan Statistical Area,43260,"Sheridan, WY",32978
Micropolitan Statistical Area,31500,"Madison, IN",32921
Micropolitan Statistical Area,23140,"Frankfort, IN",32895
Micropolitan Statistical Area,37540,"Paris, TN",32883
Micropolitan Statistical Area,42900,"Seneca Falls, NY",32650
Micropolitan Statistical Area,15900,"Canton, IL",32510
Micropolitan Statistical Area,22800,"Fort Madison, IA",32376
Micropolitan Statistical Area,27700,"Jesup, GA",32132
Micropolitan Statistical Area,25200,"Hailey, ID",32064
Micropolitan Statistical Area,40770,"Russellville, AL",31874
Micropolitan Statistical Area,27940,"Juneau, AK",31572
Micropolitan Statistical Area,13300,"Beeville, TX",31226
Micropolitan Statistical Area,17650,"Cody, WY",31082
Micropolitan Statistical Area,13700,"Big Spring, TX",30833
Micropolitan Statistical Area,47340,"Wabash, IN",30777
Micropolitan Statistical Area,27020,"Iron Mountain, MI-WI",30668
Micropolitan Statistical Area,29780,"Las Vegas, NM",30524
Micropolitan Statistical Area,28780,"Kingsville, TX",30442
Micropolitan Statistical Area,33060,"Miami, OK",30404
Micropolitan Statistical Area,24980,"Grenada, MS",30342
Micropolitan Statistical Area,32700,"McPherson, KS",30334
Micropolitan Statistical Area,10660,"Albert Lea, MN",30314
Micropolitan Statistical Area,22820,"Fort Morgan, CO",30300
Micropolitan Statistical Area,46460,"Union City, TN",30261
Micropolitan Statistical Area,33420,"Mineral Wells, TX",30231
Micropolitan Statistical Area,41260,"St. Marys, PA",30124
Micropolitan Statistical Area,28860,"Kirksville, MO",29729
Micropolitan Statistical Area,34300,"Mountain Home, ID",29729
Micropolitan Statistical Area,12460,"Bainbridge, GA",29391
Micropolitan Statistical Area,47980,"Watertown, SD",29278
Micropolitan Statistical Area,31220,"Ludington, MI",29093
Micropolitan Statistical Area,25700,"Hays, KS",29007
Micropolitan Statistical Area,10980,"Alpena, MI",28903
Micropolitan Statistical Area,46780,"Van Wert, OH",28887
Micropolitan Statistical Area,23680,"Gallipolis, OH",28886
Micropolitan Statistical Area,43940,"Spearfish, SD",28809
Micropolitan Statistical Area,47920,"Washington Court House, OH",28782
Micropolitan Statistical Area,17380,"Cleveland, MS",28395
Micropolitan Statistical Area,45580,"Thomaston, GA",28358
Micropolitan Statistical Area,45000,"Susanville, CA",28340
Micropolitan Statistical Area,23240,"Fredericksburg, TX",28159
Micropolitan Statistical Area,10480,"Alamosa, CO",27924
Micropolitan Statistical Area,43500,"Silver City, NM",27541
Micropolitan Statistical Area,30660,"Lincoln, IL",27518
Micropolitan Statistical Area,45740,"Toccoa, GA",27498
Micropolitan Statistical Area,21180,"Elkins, WV",27190
Micropolitan Statistical Area,18860,"Crescent City, CA",27009
Micropolitan Statistical Area,28380,"Kennett, MO",27002
Micropolitan Statistical Area,21640,"Eufaula, AL-GA",26681
Micropolitan Statistical Area,31380,"Macomb, IL",26662
Micropolitan Statistical Area,45520,"The Dalles, OR",26507
Micropolitan Statistical Area,24700,"Greensburg, IN",26421
Micropolitan Statistical Area,15780,"Camden, AR",26374
Micropolitan Statistical Area,30420,"Lexington, NE",26362
Micropolitan Statistical Area,36840,"Ottawa, KS",26273
Micropolitan Statistical Area,29260,"La Grande, OR",26058
Micropolitan Statistical Area,21980,"Fallon, NV",26033
Micropolitan Statistical Area,19700,"Deming, NM",25878
Micropolitan Statistical Area,30180,"Le Mars, IA",25825
Micropolitan Statistical Area,33580,"Mitchell, SD",25776
Micropolitan Statistical Area,35580,"New Ulm, MN",25710
Micropolitan Statistical Area,32140,"Marshall, MN",25577
Micropolitan Statistical Area,44900,"Summerville, GA",25306
Micropolitan Statistical Area,46620,"Uvalde, TX",25138
Micropolitan Statistical Area,24460,"Great Bend, KS",24835
Micropolitan Statistical Area,33900,"Monticello, IN",24833
Micropolitan Statistical Area,11060,"Altus, OK",24541
Micropolitan Statistical Area,33020,"Mexico, MO",24304
Micropolitan Statistical Area,33620,"Moberly, MO",24077
Micropolitan Statistical Area,26220,"Hood River, OR",23764
Micropolitan Statistical Area,49460,"Yankton, SD",23509
Micropolitan Statistical Area,21740,"Evanston, WY-UT",23373
Micropolitan Statistical Area,18220,"Connersville, IN",23335
Micropolitan Statistical Area,32180,"Marshall, MO",23325
Micropolitan Statistical Area,33180,"Middlesborough, KY",23051
Micropolitan Statistical Area,47420,"Wahpeton, ND-MN",22926
Micropolitan Statistical Area,15060,"Brookings, OR",22774
Micropolitan Statistical Area,21120,"Elk City, OK",22248
Micropolitan Statistical Area,36820,"Oskaloosa, IA",22034
Micropolitan Statistical Area,31620,"Magnolia, AR",22024
Micropolitan Statistical Area,49380,"Worthington, MN",21969
Micropolitan Statistical Area,20300,"Dumas, TX",21872
Micropolitan Statistical Area,22620,"Forrest City, AR",21822
Micropolitan Statistical Area,37420,"Pampa, TX",21725
Micropolitan Statistical Area,13100,"Beatrice, NE",21687
Micropolitan Statistical Area,27420,"Jamestown, ND",21546
Micropolitan Statistical Area,30580,"Liberal, KS",21276
Micropolitan Statistical Area,47240,"Vineyard Haven, MA",21061
Micropolitan Statistical Area,36830,"Othello, WA",21039
Micropolitan Statistical Area,11660,"Arkadelphia, AR",20920
Micropolitan Statistical Area,44740,"Storm Lake, IA",20816
Micropolitan Statistical Area,44540,"Sterling, CO",20755
Micropolitan Statistical Area,39220,"Price, UT",20613
Micropolitan Statistical Area,25100,"Guymon, OK",20577
Micropolitan Statistical Area,38180,"Pierre, SD",20541
Micropolitan Statistical Area,32340,"Maryville, MO",20503
Micropolitan Statistical Area,16140,"Carroll, IA",20407
Micropolitan Statistical Area,23190,"Franklin, KY",20350
Micropolitan Statistical Area,17260,"Clarksdale, MS",20105
Micropolitan Statistical Area,39700,"Raymondville, TX",20027
Micropolitan Statistical Area,40760,"Ruidoso, NM",20025
Micropolitan Statistical Area,49260,"Woodward, OK",19991
Micropolitan Statistical Area,38920,"Port Lavaca, TX",19942
Micropolitan Statistical Area,14420,"Borger, TX",19721
Micropolitan Statistical Area,31060,"Los Alamos, NM",19675
Micropolitan Statistical Area,21860,"Fairmont, MN",19561
Micropolitan Statistical Area,18380,"Cordele, GA",19468
Micropolitan Statistical Area,26700,"Huron, SD",19459
Micropolitan Statistical Area,11380,"Andrews, TX",18923
Micropolitan Statistical Area,25820,"Hereford, TX",18495
Micropolitan Statistical Area,13860,"Bishop, CA",18485
Micropolitan Statistical Area,44020,"Spirit Lake, IA",18158
Micropolitan Statistical Area,49080,"Winnemucca, NV",17116
Micropolitan Statistical Area,22340,"Fitzgerald, GA",16945
Micropolitan Statistical Area,12520,"Baker City, OR",16750
Micropolitan Statistical Area,43980,"Spencer, IA",16474
Micropolitan Statistical Area,11860,"Atchison, KS",16249
Micropolitan Statistical Area,43660,"Snyder, TX",16211
Micropolitan Statistical Area,46820,"Vermillion, SD",15245
Micropolitan Statistical Area,34880,"Nantucket, MA",14670
Micropolitan Statistical Area,45020,"Sweetwater, TX",14182
Micropolitan Statistical Area,49820,"Zapata, TX",13819
Micropolitan Statistical Area,28540,"Ketchikan, AK",13677
Micropolitan Statistical Area,46900,"Vernon, TX",12455
Micropolitan Statistical Area,45880,"Town of Pecos, TX",11956
